distance_km,traffic,weather,vehicle,package_weight_kg,time_of_day,delayed
38.704931647041526,Low,Clear,Truck,18.976509373857755,Morning,0
95.17000202817178,Medium,Clear,Bike,8.714886503362793,Evening,1
73.7354062975177,High,Rainy,Bike,25.66296886225245,Evening,1
60.66853145130959,Medium,Clear,Truck,27.88731341627107,Afternoon,1
17.28982676335878,High,Clear,Van,29.893749663532134,Evening,1
17.28746299294786,Medium,Cloudy,Truck,23.98221837160486,Afternoon,0
7.692193992483547,Medium,Clear,Truck,22.735155077626136,Evening,0
86.88526228594365,High,Cloudy,Van,6.857272386592756,Morning,1
60.90927115083446,Low,Clear,Truck,10.412208240208209,Morning,0
71.39111262401246,Medium,Clear,Truck,14.237634981987245,Evening,1
4.01728044098864,Low,Clear,Truck,23.314740909576365,Evening,0
97.05116551187544,High,Clear,Van,27.491493019800075,Morning,1
83.57937879844133,High,Rainy,Bike,6.0796034506780465,Evening,1
22.809232846471062,Low,Clear,Bike,27.709840797768035,Afternoon,0
19.81884678629586,Medium,Cloudy,Van,21.02092724444471,Afternoon,1
19.973641965636514,High,Clear,Bike,18.51773655520864,Afternoon,0
31.815739810034696,Low,Clear,Truck,6.395317502817216,Afternoon,0
53.42613029995931,Medium,Rainy,Bike,2.1379884678699415,Afternoon,0
44.330611826927345,High,Clear,Truck,17.269714505984226,Evening,1
30.540455739408106,Low,Cloudy,Bike,19.719712658202326,Evening,0
61.96158368279319,Medium,Rainy,Van,6.718052755963303,Afternoon,1
15.6703983439001,Low,Cloudy,Bike,16.915458071850964,Evening,0
30.63017555645138,High,Rainy,Bike,25.76655538149592,Evening,1
37.90346064278179,High,Clear,Bike,25.13444539092309,Afternoon,1
46.69485845326952,High,Clear,Van,27.85697782729577,Evening,1
78.94724421651533,Medium,Clear,Bike,11.293631381927973,Evening,1
21.568030651519255,High,Cloudy,Van,9.882462390252101,Evening,1
52.39497496453394,High,Rainy,Truck,22.608067176433856,Afternoon,1
60.05662774848016,Medium,Clear,Bike,13.217815950361647,Evening,1
6.552140446559777,High,Cloudy,Van,3.082685588819528,Morning,1
61.53939548634096,Low,Clear,Van,8.842633354779743,Morning,1
18.71136412135457,Medium,Cloudy,Bike,12.84817742317893,Afternoon,0
8.375056112557392,Low,Clear,Truck,9.129234551549434,Morning,0
94.99078265082666,Low,Rainy,Van,10.300064342945987,Afternoon,1
96.63193924130681,Low,Cloudy,Bike,9.166389232144528,Morning,1
81.2229401154132,Medium,Clear,Truck,1.7242254319008437,Morning,1
31.852149378990326,Medium,Clear,Van,19.294293674321054,Morning,0
11.57186717262562,Medium,Clear,Van,18.120126400427345,Afternoon,0
69.05483659819137,Low,Clear,Truck,19.774813205121077,Afternoon,1
45.134944386480925,Medium,Clear,Truck,6.17314193299201,Evening,0
13.959747014788325,Medium,Rainy,Bike,9.221808977568315,Afternoon,0
50.527337190904476,High,Cloudy,Bike,18.778669844875207,Morning,1
5.370075069291403,Medium,Cloudy,Van,18.18901326956768,Morning,0
91.11339940372065,Medium,Clear,Truck,15.4367441259509,Afternoon,0
27.36043819680166,High,Rainy,Truck,10.837190875300823,Afternoon,1
66.92718386669023,Medium,Cloudy,Truck,27.431464640853353,Afternoon,1
32.547685456762274,Low,Clear,Van,10.523222147815892,Evening,0
52.96666607542546,Low,Cloudy,Truck,13.940765114898921,Morning,0
55.577607375641406,High,Cloudy,Truck,20.504358013149158,Evening,1
20.11573664150165,Low,Clear,Van,16.51913221056954,Evening,0
97.01929352092674,High,Clear,Bike,10.733136302749374,Morning,1
77.96301668938922,Medium,Clear,Bike,13.35152131846704,Morning,0
94.07089627329053,High,Clear,Van,23.93718412667843,Afternoon,1
89.69308034190958,High,Rainy,Truck,8.704810086855067,Afternoon,1
60.59419792348634,High,Rainy,Van,4.696529573416055,Evening,1
92.34367503226545,Medium,Cloudy,Bike,9.738314453978424,Afternoon,0
10.672265201088111,High,Clear,Bike,25.56125935689309,Afternoon,1
21.20632051707623,Medium,Clear,Van,3.1251965882622263,Morning,0
6.43227431323273,Medium,Cloudy,Van,29.755034164487327,Morning,0
33.8823724147999,Medium,Cloudy,Bike,16.459585518366044,Afternoon,0
40.090374389569234,High,Clear,Van,29.552949447029274,Morning,1
28.5922051138418,High,Cloudy,Bike,28.200394451536337,Afternoon,1
83.21627589688907,High,Rainy,Van,13.858004569222045,Morning,1
36.96182601597175,Medium,Clear,Van,6.355486700857798,Morning,0
29.531581949363314,Medium,Clear,Van,5.364100908671584,Morning,0
55.18421614950835,Medium,Cloudy,Bike,7.579686234163747,Morning,0
15.810574047526739,Low,Clear,Van,21.44891289665385,Afternoon,0
80.61530411389589,Low,Clear,Bike,8.552024844578892,Evening,1
9.305963080617541,Medium,Clear,Bike,10.5720454533268,Morning,0
98.7149197868507,Low,Clear,Van,13.738974717841137,Afternoon,0
77.67998739107243,Low,Cloudy,Van,27.440364072432963,Afternoon,0
21.474136790348897,Low,Cloudy,Bike,6.08710582760296,Morning,0
2.541167478113035,Low,Clear,Bike,0.6482833019891918,Evening,0
81.91521998857375,Low,Rainy,Truck,2.272844106156019,Morning,1
71.27201969706648,High,Rainy,Bike,27.190607079563478,Afternoon,1
73.44270246801676,Medium,Rainy,Truck,19.60173571287921,Evening,1
77.58449397522268,Medium,Clear,Truck,8.554698270170299,Afternoon,1
9.256375869940856,Medium,Clear,Truck,5.727178779830138,Morning,0
37.129641397338716,Low,Rainy,Van,9.180868730794874,Evening,1
13.355167833462712,High,Cloudy,Van,3.886509353912763,Afternoon,0
86.58413573580816,High,Clear,Bike,28.275220853391012,Afternoon,1
63.08321642910067,Low,Clear,Truck,23.634082143775373,Afternoon,0
34.428006435559624,Medium,Clear,Van,14.140539718919952,Morning,0
8.228718328030316,High,Rainy,Van,26.016396850898456,Evening,1
32.4762675281349,High,Cloudy,Van,7.859017026650353,Morning,0
33.86796555862121,Medium,Clear,Van,21.655056769929708,Morning,0
73.50140547713028,Medium,Clear,Van,25.75590872090543,Morning,1
64.48063219281089,Low,Cloudy,Truck,11.024676992886542,Evening,1
88.94684877248,High,Rainy,Truck,22.84520114079617,Morning,1
48.27706266587103,Low,Clear,Truck,9.204634303297127,Morning,0
13.720236101953567,High,Cloudy,Truck,9.316285490141409,Morning,1
71.89798914785351,Medium,Rainy,Bike,3.658186767348489,Morning,1
76.55693476445595,Medium,Clear,Truck,13.481712372027262,Afternoon,1
57.00516536181063,Medium,Cloudy,Van,22.026501241673955,Morning,0
77.55478363554698,Low,Clear,Truck,28.236513764352907,Afternoon,1
50.39196844371029,Low,Cloudy,Bike,18.312011261908335,Morning,0
53.22781727943542,Low,Cloudy,Van,25.9624983632043,Evening,1
43.89901979913786,Low,Cloudy,Truck,24.763592154061698,Afternoon,0
4.491074420921328,High,Cloudy,Truck,5.613620062770785,Afternoon,0
12.573359845343836,Medium,Clear,Truck,14.831614152922628,Afternoon,0
5.080060197299956,Low,Rainy,Van,3.9492442979990487,Afternoon,0
64.36822030385048,High,Cloudy,Van,20.62351826606823,Evening,1
32.806886145480014,High,Clear,Bike,28.522040213259242,Morning,1
51.83992773414087,High,Cloudy,Van,4.544139013323317,Afternoon,1
90.94151444475712,High,Cloudy,Van,22.149552358674967,Evening,1
26.430638456589744,Low,Clear,Truck,19.1510254506019,Afternoon,0
42.217526457491715,Medium,Rainy,Van,17.716348591738942,Morning,1
76.04401157721877,High,Rainy,Truck,12.008546923306007,Afternoon,1
24.422220218179,Medium,Clear,Truck,10.976383608737471,Evening,1
9.544031163221714,Low,Rainy,Van,1.8348510760571919,Morning,1
30.395642385549266,High,Clear,Bike,6.928306893434398,Evening,1
